RowNumber,CustomerId,Surname,Geography,Gender,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1231,15742480,Igwebuike,Germany,Male,775,36,2,109949.05,2,0,1,71682.54,stay
1232,15749482,Zack,Spain,Male,772,30,4,78653.05,1,1,0,1790.48,stay
1233,15607537,Crawford,Germany,Male,587,46,9,107850.82,1,1,0,139431,leave
1234,15575410,Chidiegwu,Germany,Female,667,39,4,83765.35,2,1,0,118358.54,stay
1235,15684865,Lucchesi,France,Female,771,66,7,143773.07,1,1,1,130827.88,stay
1236,15600700,Pan,Germany,Male,523,63,6,116227.27,1,1,1,119404.63,stay
1237,15774155,Trevisani,Germany,Male,662,33,0,103471.52,1,1,1,162703,stay
1238,15634267,Yudin,France,Male,717,42,5,0,2,1,0,172665.21,stay
1239,15619626,Wade,France,Male,746,24,3,137492.35,2,0,1,170142.09,stay
1240,15660422,Chung,France,Male,569,28,7,0,2,1,0,73977.23,stay
1241,15617934,Septimus,France,Male,579,36,9,129829.59,1,1,1,60906.12,stay
1242,15760774,Hargraves,France,Female,519,21,1,146329.57,2,1,1,194867.27,stay
1243,15813132,Chukwukadibia,Germany,Male,696,30,4,114027.7,1,1,1,193716.56,stay
1244,15593331,Sidorov,Germany,Male,693,25,6,146580.69,1,0,1,14633.35,stay
1245,15616709,Bunton,Germany,Female,587,38,0,132122.42,2,0,0,31730.32,stay
1246,15658052,Cameron,France,Female,626,44,10,81553.93,1,1,0,20063.63,leave
1247,15721189,Kung,France,Female,666,66,7,0,2,1,1,99792.82,stay
1248,15711288,Hay,France,Male,512,24,6,0,2,1,0,37654.31,stay
1249,15770030,Conti,Spain,Female,689,28,3,0,2,1,1,192449.02,stay
1250,15803681,Sims,France,Female,803,26,4,0,2,1,1,181208.47,stay
1251,15702789,Carter,Germany,Male,548,32,5,175214.71,1,1,1,155165.61,stay
1252,15814930,McGregor,Germany,Female,588,40,10,125534.51,1,1,0,121504.18,leave
1253,15658306,Lo,France,Male,693,68,4,97705.99,1,1,1,61569.07,stay
1254,15699523,Chu,Germany,Female,499,55,4,126817.65,2,1,0,123269.71,stay
1255,15610383,Dumetolisa,France,Female,628,46,1,46870.43,4,1,0,31272.14,leave
1256,15615032,Peng,Spain,Male,624,46,3,0,2,1,1,62825.03,stay
1257,15781989,Drake-Brockman,France,Male,733,42,9,120094.93,1,1,0,184056.45,stay
1258,15647402,Wan,France,Female,628,38,3,0,2,1,1,48924.73,stay
1259,15740494,Cameron,France,Female,633,33,3,0,2,1,0,191111.02,stay
1260,15701265,Tretiakov,Germany,Female,559,36,1,104356.94,2,0,1,54184.06,stay
1261,15743532,Ball,Germany,Male,704,27,5,147004.34,1,1,0,64381.33,leave
1262,15794870,Sal,Germany,Male,744,38,6,73023.17,2,1,0,78770.86,stay
1263,15747591,Chung,Spain,Female,665,40,1,173432.55,1,0,1,116766.79,stay
1264,15726557,Lai,France,Female,638,42,7,165679.92,1,0,0,32916.29,stay
1265,15732199,Gether,Spain,Male,837,31,9,104678.62,1,0,1,50972.6,stay
1266,15662291,Davidson,France,Female,534,55,8,116973.26,3,1,0,122066.5,leave
1267,15749050,Justice,France,Female,548,36,3,0,1,1,0,65996.9,stay
1268,15781586,Osonduagwuike,Germany,Male,837,38,2,126732.85,1,1,1,79577.38,stay
1269,15617078,Ewing,France,Female,658,44,6,148481.09,1,1,0,130529.13,stay
1270,15723339,Chin,France,Female,554,38,4,137654.05,2,1,1,172629.67,stay
1271,15671322,Chiang,Germany,Male,724,30,7,115315.04,1,1,0,15216.53,stay
1272,15793854,Ahmed,France,Male,723,42,2,99095.73,1,1,1,17512.53,stay
1273,15756539,Marshall,Germany,Female,585,39,7,165610.41,2,0,0,131852.01,stay
1274,15612064,Tsou,France,Male,474,33,5,0,2,1,0,181945.52,leave
1275,15625916,Chien,Spain,Male,562,32,6,161628.66,1,1,0,91482.5,stay
1276,15683195,Ubanwa,France,Male,719,32,9,146605.27,1,1,1,77119.45,stay
1277,15690182,Kapustin,Germany,Male,635,37,5,113488.68,1,1,0,95611.74,leave
1278,15721719,Calabresi,France,Male,743,42,7,77002.2,2,1,1,80428.42,stay
1279,15641690,Hsiao,Spain,Male,681,67,7,0,2,0,1,163714.92,stay
1280,15634896,Grant,France,Female,521,39,6,0,2,0,1,27375.15,stay
1281,15671590,H?,Spain,Male,741,25,4,0,2,1,1,73873.65,stay
1282,15779182,Chia,Spain,Male,790,46,8,182364.53,1,0,0,139266.48,leave
1283,15778287,Ugoji,France,Male,622,35,8,0,2,1,1,131772.51,stay
1284,15609510,Gregory,France,Male,669,45,7,149364.58,1,0,1,173454.07,stay
1285,15742229,Mackay,France,Male,583,59,7,127450.14,1,0,1,67552.71,stay
1286,15658532,Nnamutaezinwa,Spain,Female,520,63,5,162278.32,1,1,1,34765.33,stay
1287,15590993,Findlay,Spain,Male,579,37,5,152212.88,2,0,0,120219.14,stay
1288,15565701,Ferri,Spain,Female,698,39,9,161993.89,1,0,0,90212.38,stay
1289,15597239,Ku,Spain,Male,548,39,7,131468.44,1,1,0,164975.82,stay
1290,15688880,Amechi,Germany,Male,672,40,10,102980.44,1,1,0,1285.81,leave
1291,15813917,Kirk,Germany,Male,653,31,9,143321.97,1,1,0,83679.46,stay
1292,15679611,Andrews,Spain,Female,734,37,2,130404.92,1,0,0,34548.74,stay
1293,15636589,Murray,France,Female,794,41,7,0,2,1,1,74275.08,stay
1294,15687752,Griffin,France,Male,641,30,2,87505.47,2,0,1,7278.57,stay
1295,15584363,Longstaff,France,Male,824,30,0,133634.02,1,1,1,162053.92,stay
1296,15737748,McWilliam,Spain,Female,534,33,3,151233.62,1,0,0,199336.63,stay
1297,15803365,Coffee,Spain,Male,653,55,2,70263.83,1,0,1,62347.71,stay
1298,15793247,Hancock,France,Male,498,34,5,0,2,1,1,91711.66,stay
1299,15572360,Clark,France,Male,683,30,10,57657.49,1,0,0,79240.9,stay
1300,15795166,Creswell,Germany,Male,618,42,8,153572.31,2,1,1,76679.6,stay
1301,15724620,Dodds,France,Male,538,37,1,134752.08,1,1,0,162511.55,stay
1302,15800856,Ewen,Spain,Male,643,34,3,83132.09,1,1,1,21360.88,stay
1303,15671097,Carter,France,Female,428,31,2,0,2,1,0,54487.43,stay
1304,15683930,Ch'iu,Germany,Female,593,32,9,134096.53,2,1,0,53931.05,leave
1305,15749004,Tsao,France,Female,718,31,0,118100.59,2,1,0,103165.15,stay
1306,15800434,Burgess,Germany,Male,811,52,10,76915.4,1,0,0,146359.81,leave
1307,15709117,Fanucci,Spain,Female,823,46,3,81576.75,1,1,1,28370.95,leave
1308,15638806,Blackburn,Spain,Male,645,49,2,0,2,0,0,10023.15,stay
1309,15662294,Bennett,France,Male,710,33,10,118327.17,2,1,1,192928.82,stay
1310,15690079,Boniwell,Spain,Male,591,30,8,124857.69,2,0,0,50485.7,stay
1311,15759317,Vasilieva,Germany,Female,748,27,2,90971.85,1,1,1,131662.47,stay
1312,15750497,Longo,France,Female,850,37,7,153147.75,1,1,1,152235.3,stay
1313,15596181,Kwemto,France,Male,542,38,8,65942.26,1,1,1,68093.23,leave
1314,15576602,Lawrence,France,Male,809,38,3,0,2,1,1,80061.31,stay
1315,15644833,Duncan,France,Male,675,54,2,0,1,1,0,149583.67,leave
1316,15734634,Bocharova,Spain,Female,607,27,5,100912.19,1,0,0,7631.27,stay
1317,15808689,Morres,France,Female,850,31,4,0,2,1,1,33082.81,stay
1318,15720702,Shih,France,Male,789,37,3,0,1,1,0,121883.87,leave
1319,15665077,Vogel,France,Female,598,43,5,0,3,1,1,100722.72,leave
1320,15763612,T'an,Germany,Male,756,41,2,124439.49,2,0,1,47093.11,stay
1321,15596493,Wisdom,France,Female,687,47,7,0,2,1,1,177624.01,stay
1322,15704483,Lorenzo,France,Male,724,40,6,0,2,0,0,106149.48,stay
1323,15598846,Shahan,France,Female,700,44,2,58781.76,1,1,0,16874.92,stay
1324,15629244,Bryant,Spain,Male,635,50,7,159453.64,2,0,0,54560.79,leave
1325,15765537,Liang,Germany,Male,687,26,2,142721.52,1,1,1,153605.75,stay
1326,15729975,Chidozie,France,Female,613,46,8,167795.6,1,0,1,44390.38,stay
1327,15682773,Hayward,France,Female,781,38,3,128345.69,2,1,0,63218.85,stay
1328,15688007,Liu,Spain,Male,703,20,3,165260.98,1,1,1,41626.78,stay
1329,15574331,Alexeeva,Germany,Female,593,62,3,118233.81,1,0,1,24765.53,leave
1330,15645572,Calabresi,France,Female,743,40,6,0,1,1,0,28280.8,leave
1331,15742854,Lettiere,Spain,Female,640,46,8,0,2,1,0,89043.19,stay
1332,15575417,Chou,Germany,Male,849,37,7,143452.74,2,1,1,17294.12,stay
1333,15796721,Nnamutaezinwa,France,Male,778,38,3,145018.49,2,1,1,126702.41,stay
1334,15734942,Nnamutaezinwa,Germany,Female,539,38,8,82407.51,1,1,0,13123.41,stay
1335,15664772,Greece,Germany,Male,489,28,1,79460.98,2,1,1,167973.63,stay
1336,15576683,Yin,Spain,Female,568,43,9,0,1,1,0,125870.79,leave
1337,15682563,Larionova,Spain,Male,618,38,5,126473.99,1,1,0,91972.49,stay
1338,15650889,Golubev,Germany,Female,710,30,10,133537.1,2,1,0,155593.74,stay
1339,15612108,Norman,France,Male,625,52,5,164978.01,1,1,1,67788.49,stay
1340,15761132,Capon,Spain,Male,682,46,7,128029.72,1,1,1,62615.35,stay
1341,15645511,Chukwudi,Spain,Male,727,43,2,97403.18,1,1,1,107415.02,leave
1342,15609824,Fedorov,France,Female,794,41,7,176845.41,3,1,0,166526.26,leave
1343,15640268,Avdeeva,Spain,Male,652,71,4,0,1,1,1,120107.1,stay
1344,15645778,Reid,Spain,Male,670,42,3,81589.04,1,1,0,188227.8,stay
1345,15691104,Kennedy,Germany,Female,460,40,6,119507.58,2,1,0,91560.63,leave
1346,15714567,Chan,Spain,Female,568,26,6,0,2,0,0,166495.2,stay
1347,15777826,Wofford,France,Male,643,30,5,94443.77,1,1,1,165614.4,stay
1348,15668445,Mai,France,Male,521,37,2,0,2,1,1,86372.24,stay
1349,15576162,King,France,Male,615,32,7,92199.84,1,1,1,2755.53,stay
1350,15778135,T'ao,Spain,Male,575,43,3,0,1,1,0,83594.51,stay
1351,15613141,Hsu,France,Female,717,41,3,135756.96,1,1,1,103706.41,stay
1352,15635435,White,France,Female,648,54,9,120633.42,1,0,0,5924.38,leave
1353,15596552,Stephens,Germany,Male,535,48,5,134542.73,1,1,1,58203.67,leave
1354,15623644,Frolov,Spain,Male,626,29,7,0,2,1,0,49361.84,stay
1355,15683403,Lombardi,Spain,Male,611,52,7,0,1,0,1,73585.18,leave
1356,15615029,Munro,Spain,Male,734,39,6,0,1,1,1,95135.27,stay
1357,15769005,Hayward,France,Male,709,49,4,154344.49,2,1,1,38794.57,stay
1358,15746326,Fields,France,Male,591,43,3,0,2,0,1,198926.36,stay
1359,15722364,Onwumelu,France,Male,664,43,9,189026.53,2,1,1,56099.86,stay
1360,15704954,Suffolk,France,Male,431,37,0,120764.08,1,1,1,117023.08,stay
1361,15694409,Tsao,Germany,Female,647,22,3,97975.82,2,0,1,62083,stay
1362,15754068,Judd,France,Male,578,32,4,0,2,1,1,141822.8,stay
1363,15683841,Hamilton,Germany,Male,555,41,10,113270.2,2,1,1,185387.14,stay
1364,15789095,T'ang,Spain,Male,775,30,4,0,2,0,1,57461.13,stay
1365,15719958,Degtyarev,Germany,Male,850,39,3,124548.99,2,1,1,120380.12,stay
1366,15689514,Kang,France,Male,625,43,8,201696.07,1,1,0,133020.9,leave
1367,15621353,Hudson,Spain,Female,645,37,7,0,2,1,0,13589.93,stay
1368,15627232,Jibunoh,Germany,Male,608,44,7,114203.47,1,1,1,77830.36,leave
1369,15745843,Kinlaw,Spain,Female,689,31,4,0,2,1,1,136610.02,stay
1370,15722902,Chizuoke,Germany,Male,652,50,8,125437.64,1,1,1,17160.94,leave
1371,15791767,Lucciano,France,Female,769,26,7,0,2,1,0,176843.53,stay
1372,15792722,Omeokachie,France,Female,611,43,8,64897.75,1,1,0,114996.33,stay
1373,15723006,Gorbunova,France,Male,489,38,8,0,2,0,1,196990.79,stay
1374,15771942,Tikhonov,Germany,Female,528,46,9,135555.66,1,1,0,133146.03,leave
1375,15774738,Campa,France,Male,632,44,3,107764.75,1,1,0,185667.72,stay
1376,15574004,Mancini,France,Female,429,27,6,117307.44,2,1,1,24020.49,stay
1377,15587233,Donoghue,France,Male,457,41,8,73700.12,3,1,1,185750.02,leave
1378,15808228,Tuan,Spain,Female,768,44,6,60603.4,1,1,1,178045.97,stay
1379,15682834,Johnstone,Spain,Female,715,35,4,40169.88,2,1,1,199857.47,stay
1380,15571752,Romani,Germany,Female,668,32,10,92041.87,1,1,1,43595.9,stay
1381,15743067,Fuller,Germany,Male,625,26,3,130483.95,1,1,0,122810.53,stay
1382,15714466,Baxter,France,Female,846,41,5,0,3,1,0,3440.47,leave
1383,15617982,Pirozzi,Spain,Female,661,42,3,0,2,1,0,35989.41,stay
1384,15696637,Sung,France,Female,571,23,10,151097.28,1,0,1,17163.75,stay
1385,15690647,Rogers,Spain,Female,582,46,8,67563.31,1,1,0,44506.09,leave
1386,15672756,Mills,France,Female,716,35,8,112808.18,1,0,1,17848.3,stay
1387,15704586,Osonduagwuike,France,Female,758,42,7,0,2,0,1,76209.56,stay
1388,15674526,Byrne,France,Male,725,66,4,86459.8,1,1,1,141476.56,stay
1389,15775295,McIntyre,France,Female,630,40,0,118633.08,1,0,1,60032.46,leave
1390,15684196,Aitken,France,Female,627,55,2,159441.27,1,1,0,100686.11,leave
1391,15727281,Macintyre,France,Female,653,27,9,0,2,1,0,96429.29,stay
1392,15787835,Simpson,Germany,Female,775,38,4,125212.65,2,1,1,15795.88,leave
1393,15730540,Simpson,Spain,Male,794,45,8,88656.37,2,1,0,116547.31,stay
1394,15646276,Metcalfe,France,Female,831,32,2,146033.62,1,1,0,191260.74,stay
1395,15582180,Lees,France,Male,561,29,9,120268.13,1,1,1,173870.39,stay
1396,15697095,Zetticci,Spain,Male,705,46,7,0,2,1,0,117273.35,stay
1397,15748797,Dale,Spain,Female,636,33,0,0,1,1,0,92277.47,leave
1398,15754796,Byrne,Germany,Female,487,46,4,135070.58,2,1,1,44244.49,leave
1399,15628947,Praed,France,Female,693,38,3,0,2,0,0,78133.48,leave
1400,15775546,Laurens,Spain,Female,517,29,5,0,2,1,0,103402.88,stay
1401,15670481,Woods,France,Female,684,27,9,122550.05,2,0,1,137835.82,stay
1402,15619029,Bykov,Spain,Female,620,43,2,0,2,1,0,20670.1,stay
1403,15613282,Vorobyova,France,Male,757,29,8,130306.49,1,1,0,77469.38,stay
1404,15721487,Pirogova,France,Female,739,27,6,0,1,1,1,57572.38,stay
1405,15797276,Sturt,Spain,Female,662,41,4,90350.77,1,1,0,75884.65,leave
1406,15612494,Panicucci,France,Female,359,44,6,128747.69,1,1,0,146955.71,leave
1407,15629617,Cook,Spain,Male,572,23,2,126873.52,1,0,1,67040.12,stay
1408,15600821,Hardy,France,Male,721,69,2,108424.19,1,1,1,178418.35,stay
1409,15579062,Chu,France,Male,707,32,9,0,2,0,0,30807.02,stay
1410,15814268,Franklin,France,Female,444,40,5,84350.07,1,1,0,143835.76,stay
1411,15710164,P'eng,France,Female,523,73,7,0,2,0,0,130883.9,leave
1412,15693904,Chiang,Germany,Female,685,30,4,84958.6,2,0,1,194343.72,stay
1413,15588986,Grant,Germany,Female,673,29,4,99097.36,1,1,1,9796.69,stay
1414,15797733,Udobata,Germany,Male,503,30,10,136622.55,2,0,0,47310.24,stay
1415,15620507,Siciliani,Germany,Female,485,30,5,156771.68,1,1,1,141148.21,stay
1416,15685150,Evans,Germany,Male,799,28,7,167658.33,2,1,1,111138.25,stay
1417,15667651,Young,Spain,Female,585,33,8,0,2,1,0,114182.07,stay
1418,15774166,Mitchell,Germany,Female,607,24,2,109483.54,2,0,1,127560.77,stay
1419,15649280,Lucchese,Germany,Female,521,40,9,134504.78,1,1,0,18082.06,stay
1420,15705657,Hewitt,France,Female,535,44,2,114427.86,1,1,1,136330.26,stay
1421,15753969,K'ung,Spain,Male,724,45,5,83888.54,1,0,1,34121.81,stay
1422,15742378,Swaim,Germany,Male,520,32,5,110029.77,1,1,0,56246.69,stay
1423,15794874,Quinones,Spain,Male,696,41,9,127523.75,1,0,1,191417.42,stay
1424,15589221,Kennedy,Germany,Male,657,30,1,139762.13,2,1,1,23317.88,stay
1425,15596671,Endrizzi,Spain,Female,603,42,8,91611.12,1,0,0,144675.3,leave
1426,15583668,Ludowici,France,Female,726,42,2,109471.79,1,0,1,175161.05,stay
1427,15710206,Larson,France,Female,591,39,4,150500.64,1,1,0,14928.8,stay
1428,15799966,Chigolum,Germany,Female,792,59,9,101609.77,1,0,0,161479.19,leave
1429,15794560,Maclean,France,Male,550,57,5,0,1,1,1,133501.94,stay
1430,15626485,Lu,France,Female,601,26,8,78892.23,1,1,1,23703.52,stay
1431,15703143,Tuan,France,Female,820,29,3,82344.84,1,0,1,115985.38,stay
1432,15809772,Glover,France,Male,667,48,2,0,1,1,0,43229.2,stay
1433,15687959,Landman,Spain,Female,573,44,4,0,1,1,1,94862.93,stay
1434,15585282,Trevisano,France,Male,755,62,1,127706.33,2,0,1,142377.69,stay
1435,15714993,Longo,France,Female,552,41,9,124349.34,1,1,0,135635.25,stay
1436,15596021,K?,Spain,Male,598,44,8,0,2,1,0,148487.9,stay
1437,15646615,Muir,Germany,Male,576,28,1,119336.29,2,0,1,58976.85,stay
1438,15742632,Alexeyeva,France,Female,670,31,9,0,1,0,1,76254.83,stay
1439,15574068,Norman,Germany,Male,504,56,9,104217.3,1,0,0,55857.48,leave
1440,15806967,Simmons,France,Female,778,65,7,0,1,1,1,77867.23,stay
1441,15796334,Chukwualuka,Germany,Male,558,39,10,144757.02,1,1,0,22878.16,leave
1442,15688713,McCall,Spain,Male,627,44,6,0,1,1,1,114469.55,stay
1443,15796179,Moore,France,Male,683,43,8,0,1,1,0,96754.8,stay
1444,15598751,Ingram,France,Female,556,43,6,0,3,0,0,125154.57,leave
1445,15703019,Okeke,France,Female,583,38,10,0,2,0,1,113597.64,stay
1446,15646302,Shao,France,Female,705,24,7,100169.51,1,1,0,121408.55,stay
1447,15680855,Iloabuchi,France,Male,637,33,2,145731.83,1,0,1,109219.43,stay
1448,15697311,Nebechukwu,Spain,Male,697,56,5,110802.03,1,1,1,50230.31,leave
1449,15585367,Diribe,Germany,Female,555,46,4,120392.99,1,1,0,177719.88,leave
1450,15726556,Macgroarty,Germany,Female,594,26,6,135067.52,2,0,0,131211.86,stay
1451,15676242,Artemova,Spain,Male,632,31,3,136556.44,1,1,0,82152.83,leave
1452,15684198,McDonald,France,Female,551,38,10,0,2,1,1,216.27,stay
1453,15774882,Mazzanti,France,Female,687,35,3,99587.43,1,1,1,1713.1,leave
1454,15714227,Kelly,France,Female,672,53,7,0,1,1,1,136910.18,stay
1455,15608653,Davison,Spain,Female,521,34,7,70731.07,1,1,1,20243.97,leave
1456,15784280,Reilly,Germany,Male,686,35,2,109342.82,2,0,1,86043.27,stay
1457,15789546,Ojiofor,Spain,Male,639,28,8,0,2,1,0,126561.07,stay
1458,15590320,Shelton,France,Male,850,66,4,0,2,0,1,64350.8,stay
1459,15678385,Lange,France,Male,465,25,2,78247.31,2,1,1,10472.31,stay
1460,15571778,Trentini,France,Female,817,55,10,117561.49,1,1,0,95941.55,leave
1461,15657085,Gardiner,France,Male,578,23,10,88980.32,1,1,1,125222.36,stay
1462,15640627,Wan,Spain,Male,611,34,4,0,2,1,0,170950.58,stay
1463,15566211,Hsu,Germany,Female,616,41,1,103560.57,1,1,0,236.45,leave
1464,15669293,Hovell,France,Male,517,37,5,113308.84,1,0,1,31517.16,stay
1465,15595067,Zhirov,Spain,Female,637,40,6,0,2,1,1,181610.6,stay
1466,15753566,Espinosa,France,Female,806,32,3,63763.49,1,1,0,156593.09,stay
1467,15650391,Wallace,France,Female,633,29,7,169988.35,1,1,0,4272,stay
1468,15681843,Barbour,Germany,Female,624,35,0,180303.24,2,1,0,163587.9,stay
1469,15814846,Ozerova,France,Male,691,52,3,0,1,1,0,175843.68,leave
1470,15670374,Wright,Germany,Female,819,49,1,120656.86,4,0,0,166164.3,leave
1471,15762332,Ulyanova,Germany,Female,568,31,1,61592.14,2,1,1,61796.64,stay
1472,15700223,Steiner,France,Male,806,48,4,164701.68,1,1,1,21439.49,stay
1473,15729956,Akabueze,Spain,Female,726,26,1,80780.16,1,1,1,19225.85,stay
1474,15594862,Aleksandrova,France,Male,552,36,8,0,2,0,0,132547.02,stay
1475,15598782,Pinto,Germany,Female,755,30,6,154221.37,2,0,1,62688.55,stay
1476,15745080,Griffiths,France,Male,634,26,8,0,1,1,0,21760.96,stay
1477,15703399,McNeil,France,Female,756,26,5,101641.14,2,0,1,154460.68,stay
1478,15732175,Bruno,France,Male,776,37,2,0,1,0,1,8065,stay
1479,15630725,Johnson,France,Female,649,45,5,92786.66,1,1,0,173365.9,leave
1480,15640260,Okorie,Germany,Male,595,32,8,131081.66,2,1,1,69428.79,stay
1481,15716822,Moen,France,Male,646,30,5,98014.74,1,1,1,12757.14,stay
1482,15583748,McGuigan,Spain,Male,592,38,8,0,2,1,0,180426.2,stay
1483,15605968,Fancher,France,Male,574,26,8,97460.1,1,1,1,43093.67,stay
1484,15790683,Matthews,France,Male,850,36,1,104077.19,2,0,1,68594,stay
1485,15607713,Kaeppel,Spain,Female,850,29,1,0,2,1,1,197996.65,stay
1486,15700212,Shih,France,Female,475,46,10,0,2,0,0,122953,leave
1487,15626710,Yudina,France,Female,642,39,4,0,1,1,1,76821.24,stay
1488,15716491,Akabueze,Spain,Female,710,51,4,93656.95,1,0,1,141400.51,leave
1489,15625824,Kornilova,Spain,Male,596,30,6,121345.88,4,1,0,41921.75,leave
1490,15617705,Ozioma,France,Female,609,39,8,141675.23,1,0,1,175664.25,stay
1491,15761976,Su,Spain,Female,797,31,8,0,2,1,0,117916.63,stay
1492,15634891,Jamison,Germany,Female,504,43,7,102365.49,1,1,0,194690.77,leave
1493,15744517,Esposito,Spain,Male,735,50,9,0,1,0,0,166677.35,leave
1494,15686963,Hardiman,Spain,Female,680,30,3,0,1,1,0,160131.58,stay
1495,15808189,Woodard,France,Male,449,52,6,0,2,0,1,123622,stay
1496,15580845,Chienezie,Germany,Male,685,57,7,101868.51,1,0,1,113483.96,stay
1497,15799156,Okwuadigbo,Spain,Male,569,38,8,0,2,0,0,79618.79,stay
1498,15694296,Chineze,France,Male,631,35,9,112392.45,2,1,0,24472.23,stay
1499,15677049,O'Brien,Germany,Female,595,25,7,106570.34,2,0,1,177025.79,stay
1500,15583595,Tao,France,Female,461,28,8,0,1,1,1,103349.74,stay
1501,15590146,Mao,France,Male,630,50,1,81947.76,1,0,1,63606.22,leave
1502,15801548,Buckland,France,Female,661,31,7,144162.3,2,1,1,14490.79,stay
1503,15660833,Flannery,Germany,Male,796,39,5,86350.87,2,0,0,105080.53,stay
1504,15762277,Jamieson,France,Male,710,47,5,158623.14,1,0,0,83499.89,leave
1505,15791302,Swift,France,Male,741,32,8,0,2,1,0,143598.7,stay
1506,15798975,Doherty,Germany,Male,606,48,4,132403.56,1,0,0,36091.91,leave
1507,15599956,Payne,France,Male,747,27,10,0,2,0,0,13007.89,stay
1508,15577274,Genovese,Germany,Female,549,43,3,134985.66,1,1,0,6101.41,stay
1509,15701200,Lucciano,France,Male,576,36,6,0,2,1,1,48314,stay
1510,15638149,Rowley,France,Male,528,37,6,103772.45,1,1,0,197111.99,stay
1511,15786199,Hsing,France,Male,535,33,2,133040.32,1,1,1,110299.78,stay
1512,15701765,Vincent,Spain,Female,575,37,0,0,2,0,0,30114.32,stay
1513,15586974,Pearce,France,Male,656,39,10,0,2,1,1,98894.64,stay
1514,15729040,Lamb,France,Male,440,42,2,0,2,1,0,49826.68,stay
1515,15788676,Riley,Spain,Male,539,38,8,71460.67,2,1,1,10074.05,stay
1516,15602497,Honore,Spain,Male,850,39,6,133214.13,1,0,1,20769.88,stay
1517,15701333,Blackburn,France,Female,646,37,7,96558.66,1,0,0,163427.18,stay
1518,15812071,Endrizzi,France,Male,744,54,6,93806.31,2,0,1,140068.77,stay
1519,15634375,Duncan,Spain,Female,710,36,8,0,2,0,0,83206.19,stay
1520,15738267,Macarthur,France,Female,544,64,3,124043.8,1,1,1,111402.97,leave
1521,15786800,Gould,Germany,Male,723,52,5,131694.97,1,0,1,92873.5,leave
1522,15591130,Medvedev,Spain,Female,507,29,6,0,2,0,1,94780.9,stay
1523,15720662,Sholes,France,Female,787,35,1,106266.8,1,1,1,16607.15,stay
1524,15751531,Shaw,Spain,Male,598,41,8,0,2,1,1,161954.43,stay
1525,15653595,Ts'ai,France,Male,796,51,6,0,2,0,1,194733.28,stay
1526,15568360,Rolon,Spain,Female,569,41,4,139840.36,1,1,1,163524.7,stay
1527,15781210,Reid,France,Male,711,34,8,0,2,0,0,48260.19,stay
1528,15668058,Chinwendu,Germany,Male,661,35,8,124098.54,1,1,0,86678.48,stay
1529,15597131,Fu,France,Male,415,32,5,145807.59,1,1,1,3064.65,stay
1530,15697283,Mackenzie,Spain,Male,578,23,8,0,2,1,0,112124.98,stay
1531,15640953,Bligh,France,Female,611,26,2,107508.93,2,1,1,120801.65,stay
1532,15715031,Davidson,France,Female,600,28,6,0,2,0,1,52193.23,stay
1533,15589660,Lamble,Germany,Female,661,32,1,145980.23,1,0,1,56636.28,stay
1534,15769818,Moore,France,Female,850,37,3,212778.2,1,0,1,69372.88,stay
1535,15782736,Jose,Germany,Female,573,47,4,152522.47,1,0,1,164038.07,leave
1536,15614818,Trevisani,Spain,Female,764,33,9,168964.77,1,0,1,118982.51,stay
1537,15794014,Schofield,France,Female,838,34,8,0,2,1,0,27472.07,stay
1538,15732448,Stewart,France,Female,821,28,8,0,1,1,1,36754.13,stay
1539,15723411,Jamieson,Spain,Female,607,36,4,98266.3,1,1,1,46416.36,stay
1540,15797686,Howard,France,Male,558,38,8,113000.92,1,1,1,152872.39,stay
1541,15605950,Onwuamaeze,Germany,Male,530,23,1,137060.88,2,1,1,165227.23,stay
1542,15812497,D'Albertis,Germany,Male,654,37,5,112146.12,1,1,0,75927.35,stay
1543,15690678,Brooks,France,Female,530,33,4,129307.32,1,1,1,172930.28,stay
1544,15747677,Gordon,Spain,Male,656,69,6,163975.09,1,1,1,36108.5,stay
1545,15618926,Nwachukwu,Spain,Male,520,43,7,0,2,1,1,36202.74,stay
1546,15673908,Chinweike,Germany,Female,602,42,6,158414.85,1,1,1,131886.46,stay
1547,15727944,Simpkinson,Germany,Female,701,48,1,92072.68,1,1,1,133992.36,stay
1548,15807294,Walker,Spain,Female,653,30,2,88243.29,2,1,1,96658.26,stay
1549,15618581,Diribe,Spain,Male,668,25,8,0,2,1,1,135112.09,stay
1550,15584364,Trentini,France,Male,652,48,4,59486.31,1,1,0,163944.18,leave
1551,15599552,Conway,Spain,Female,639,54,2,0,2,1,1,53843.71,stay
1552,15749177,Maslow,Spain,Female,730,52,7,0,2,0,1,122398.84,stay
1553,15718779,Clark,France,Male,780,34,1,0,1,1,1,64804.04,stay
1554,15568106,L?,France,Female,592,38,8,119278.01,2,0,1,19370.73,stay
1555,15779481,Swadling,France,Male,628,34,4,158741.43,2,1,1,126192.54,stay
1556,15709994,Gallo,France,Female,658,40,7,140596.95,1,0,1,135459.02,leave
1557,15772777,Onyemachukwu,Spain,Female,850,29,10,0,2,1,1,94815.04,stay
1558,15706815,Samoylova,Germany,Male,515,37,2,90432.92,1,1,1,188366.04,leave
1559,15618018,Dickson,France,Female,571,35,1,104783.81,2,0,1,178512.52,stay
